Company Name,Symbol,Sector
Adani Enterprises,ADANIENT,Diversified
Adani Ports & SEZ,ADANIPORTS,Infrastructure
Apollo Hospitals,APOLLOHOSP,Healthcare
Asian Paints,ASIANPAINT,Consumer Durables
Axis Bank,AXISBANK,Banking
Bajaj Auto,BAJAJ-AUTO,Automobile
Bajaj Finance,BAJFINANCE,Financial Services
Bajaj Finserv,BAJAJFINSV,Financial Services
Bharat Petroleum,BPCL,Energy - Oil & Gas
Bharti Airtel,BHARTIARTL,Telecommunication
Britannia Industries,BRITANNIA,Consumer Goods
Cipla,CIPLA,Pharmaceuticals
Coal India,COALINDIA,Energy - Coal
Divi's Laboratories,DIVISLAB,Pharmaceuticals
Dr. Reddy's Laboratories,DRREDDY,Pharmaceuticals
Eicher Motors,EICHERMOT,Automobile
Grasim Industries,GRASIM,Materials
HCLTech,HCLTECH,Information Technology
HDFC,HDFC,Financial Services
HDFC Bank,HDFCBANK,Banking
HDFC Life,HDFCLIFE,Financial Services
Hero MotoCorp,HEROMOTOCO,Automobile
Hindalco Industries,HINDALCO,Metals
Hindustan Unilever,HINDUNILVR,Consumer Goods
ICICI Bank,ICICIBANK,Banking
IndusInd Bank,INDUSINDBK,Banking
Infosys,INFY,Information Technology
ITC,ITC,Consumer Goods
JSW Steel,JSWSTEEL,Metals
Kotak Mahindra Bank,KOTAKBANK,Banking
Larsen & Toubro,LT,Construction
Mahindra & Mahindra,M&M,Automobile
Maruti Suzuki,MARUTI,Automobile
Nestlé India,NESTLEIND,Consumer Goods
NTPC,NTPC,Energy - Power
Oil and Natural Gas Corporation,ONGC,Energy - Oil & Gas
Power Grid,POWERGRID,Energy - Power
Reliance Industries,RELIANCE,Diversified
SBI Life Insurance Company,SBILIFE,Financial Services
State Bank of India,SBIN,Banking
Sun Pharma,SUNPHARMA,Pharmaceuticals
Tata Motors,TATAMOTORS,Automobile
Tata Steel,TATASTEEL,Metals
Tata Consultancy Services,TCS,Information Technology
Tata Consumer Products,TATACONSUM,Consumer Goods
Tech Mahindra,TECHM,Information Technology
Titan Company,TITAN,Consumer Durables
UltraTech Cement,ULTRACEMCO,Materials
UPL,UPL,Chemicals
Wipro,WIPRO,Information Technology
